nhood,Coding,Population,Married,Divorced,Widowed,Persons_with_a_migration_background,Non_Western,Morocco,Netherlands_Antilles_and_Aruba,Suriname,Turkey,Othernon-Western,Householdincome,Crime,"Vandalism,crimeagainstpublicorder",Violentandsexualcrimes,PostalCode,cafe_Within_1_km,cafe_Within_3_km,cafe_Within_5_km,distance_to_Cafeterias_km,cafeterias_Within_1_km,cafeterias_Within_3_km,cafeterias_Within_5_km,distance_to_Restaurants,restaurants_Within_1_km,restaurants_Within_3_km,restaurants_Within_5_km,hotels_Within_5_km,hotels_Within_10_5km,hotels_Within_20km,Distance_to_main_road_entrance,Distance_to_train_station,Distance_to_important_transfer_station
HouthavensEast,BU03631201,390,195,60,15,150,70,10,0,20,5,35,36.6,0,6,5,1013,4.50,306.10,642.40,0.40,6.70,381.80,837.80,0.40,13.30,622.30,1566.00,353.40,435.60,509.60,3.30,1.80,1.80
SpaarndammerandZeeheldenbuurt,WK036313,7360,2035,1110,280,1900,3385,865,140,850,250,1275,25.9,2,7,13,.,8.00,283.60,625.10,0.20,16.50,355.50,803.30,0.20,34.20,610.40,1509.00,352.40,435.40,515.70,2.50,2.30,2.30
Zeeheldenbuurt,BU03631300,1435,380,190,35,395,670,200,15,160,30,265,26.6,2,3,8,1013,10.30,333.90,654.30,0.20,21.50,416.80,855.80,0.10,39.40,699.90,1609.00,363.20,436.00,516.80,3.00,1.80,1.80
SpaarndammerbuurtNortheast,BU03631301,1840,555,320,65,450,1005,250,50,230,95,375,24.2,2,3,11,1013,8.40,299.00,628.80,0.20,15.50,371.50,809.20,0.20,32.80,633.60,1520.00,354.30,435.40,515.60,2.60,2.20,2.20
SpaarndammerbuurtZuidoost,BU03631302,695,215,95,25,190,270,70,10,70,20,95,26.8,1,6,2,1013,15.10,367.50,658.10,0.20,27.50,449.20,857.90,0.10,61.90,782.80,1614.00,370.40,435.20,518.60,2.80,2.00,2.00
SpaarndammerbuurtSouthwest,BU03631303,1115,300,185,95,325,390,60,25,120,30,160,27.3,4,6,7,1013,7.50,304.00,631.50,0.20,17.00,377.20,807.30,0.10,34.20,635.20,1527.00,356.30,435.00,515.70,2.50,2.30,2.30
SpaarndammerbuurtMidden,BU03631304,880,220,110,15,210,370,85,20,90,25,155,26.1,1,4,4,1013,4.90,241.80,604.00,0.10,12.00,311.50,767.90,0.10,24.90,536.20,1449.00,345.00,435.00,514.10,2.20,2.50,2.50
SpaarndammerbuurtNorthwest,BU03631305,1390,360,215,45,330,690,205,20,185,55,225,25.9,3,10,4,1013,4.10,177.70,581.70,0.20,9.80,232.80,733.10,0.20,22.80,425.90,1363.00,331.10,435.30,514.40,2.00,2.70,2.70
Westergasfabriek,BU03631306,0,0,0,0,0,0,0,0,0,0,0,.,,,,1014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BurglarintheBinnenpolder,BU03631307,5,0,0,0,0,0,0,0,0,0,0,.,.,.,.,1014,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Staatsliedenbuurt,WK036314,9565,2485,1045,215,2910,3365,905,120,615,260,1455,29,3,3,6,.,20.90,426.30,664.50,0.20,22.70,519.50,878.10,0.10,62.80,930.70,1671.00,372.40,435.80,523.10,2.20,2.30,2.30
TheWittenbuurtNoord,BU03631400,950,300,115,25,285,355,100,15,50,40,155,29.8,3,4,5,1052,33.70,446.40,678.80,0.30,43.50,543.60,917.00,0.10,113.50,970.60,1735.00,378.30,437.40,523.10,2.50,1.90,1.90
