nhood,Coding,Population,Married,Divorced,Widowed,Persons_with_a_migration_background,Non_Western,Morocco,Netherlands_Antilles_and_Aruba,Suriname,Turkey,Othernon-Western,Householdincome,Crime,"Vandalism,crimeagainstpublicorder",Violentandsexualcrimes,PostalCode,cafe_Within_1_km,cafe_Within_3_km,cafe_Within_5_km,distance_to_Cafeterias_km,cafeterias_Within_1_km,cafeterias_Within_3_km,cafeterias_Within_5_km,distance_to_Restaurants,restaurants_Within_1_km,restaurants_Within_3_km,restaurants_Within_5_km,hotels_Within_5_km,hotels_Within_10_5km,hotels_Within_20km,Distance_to_main_road_entrance,Distance_to_train_station,Distance_to_important_transfer_station
Weespertrekvaart,BU03635801,1275,105,30,0,150,595,20,80,85,15,405,14.3,4,4,38,1096,1.00,3.10,55.60,1.00,0.40,12.30,152.80,1.00,0.40,15.60,252.00,32.90,415.80,491.10,0.90,2.80,5.90
Amstelglory,BU03635804,55,15,5,5,15,0,0,0,0,0,5,.,.,25,13,1096,0.10,20.60,244.40,1.50,0.20,45.30,406.50,1.40,0.40,103.90,823.00,177.20,431.10,498.30,1.30,2.80,4.60
Overamstel,BU03635805,35,5,5,0,0,5,0,0,5,0,5,.,.,.,.,1096,0.00,1.70,64.30,2.80,0.00,3.60,130.60,2.70,0.00,8.50,266.50,38.90,414.80,490.00,2.60,4.10,5.90
AmstelkwartierNorth,BU03635806,1430,225,80,10,300,275,35,30,55,30,125,29.2,4,3,3,1096,0.00,33.60,350.70,0.40,2.90,85.30,519.70,0.20,4.10,151.00,954.90,203.80,432.80,494.10,1.50,1.50,5.30
TheFall,BU03635807,430,215,65,20,245,125,0,5,10,15,95,52,6,1,4,1096,2.00,117.00,548.70,0.40,8.60,224.20,821.10,0.10,13.30,450.10,1520.00,357.80,441.00,500.60,2.40,0.90,4.10
AmstelkwartierSouth,BU03635808,15,10,5,5,10,5,0,0,0,0,0,.,.,.,.,1096,0.00,12.10,174.20,0.20,3.00,38.90,354.80,0.40,1.60,58.80,638.80,113.00,428.00,496.00,1.00,2.10,5.30
AmstelkwartierWest,BU03635809,525,25,10,5,120,130,5,10,20,10,85,14.1,2,5,5,1096,0.80,42.80,376.40,0.90,2.10,86.20,601.10,0.20,2.80,187.10,1126.00,267.30,439.80,499.40,0.60,2.30,4.10
PrincessIrenebuurtandsurroundingareas,WK036359,680,505,80,75,405,180,5,10,15,10,135,57.8,10,1,3,.,2.30,101.80,577.00,0.40,17.00,231.90,819.20,0.40,19.70,529.50,1579.00,340.70,444.60,512.20,1.50,0.90,0.90
PrincessIreneneighborhood,BU03635900,680,505,85,75,405,175,10,5,15,10,135,57.8,10,1,1,1077,2.30,101.80,577.00,0.40,17.00,231.90,819.20,0.40,19.70,529.50,1579.00,340.70,444.60,512.20,1.50,0.90,0.90
BeatrixPark,BU03635901,0,0,0,0,0,0,0,0,0,0,0,.,,,,1077,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Volewijck,WK036360,5990,2295,1095,375,1180,3875,1095,140,725,445,1470,21.4,5,5,13,.,8.00,26.00,286.60,0.30,10.30,48.40,343.40,0.20,24.60,74.90,618.50,131.50,417.40,493.20,2.90,4.60,4.60
VanderPekbuurt,BU03636000,3315,995,530,120,615,2395,805,75,355,290,865,20.6,7,6,17,1031,9.60,26.80,322.20,0.20,12.80,47.10,393.60,0.20,30.90,77.40,685.90,153.50,417.60,494.30,3.30,4.40,4.40
BloemenbuurtZuid,BU03636001,1420,595,310,115,270,895,200,40,205,80,365,21,4,2,8,1032,7.80,25.00,300.30,0.30,8.90,49.10,341.30,0.20,23.80,71.80,625.00,136.80,417.70,492.10,2.70,4.70,4.70
BloemenbuurtNoord,BU03636002,1255,710,255,140,300,580,85,15,165,75,235,23.5,5,6,8,1032,5.00,25.50,202.60,0.30,6.70,50.30,246.80,0.30,13.00,73.10,479.40,83.00,416.90,492.30,2.30,4.90,4.90
IJplein/Vogelbuurt,WK036361,5235,1890,885,245,1140,3660,1165,135,690,355,1310,22.8,5,6,6,.,6.80,21.00,251.30,0.30,10.80,41.80,291.20,0.20,18.90,62.90,526.50,119.30,416.00,491.60,3.10,4.70,4.70
IJpleinandsurroundingareas,BU03636100,1520,575,295,95,335,1115,325,30,210,150,395,22.8,5,6,8,1021,5.60,20.00,176.70,0.30,7.90,38.10,204.20,0.30,13.20,60.20,385.90,72.90,414.30,490.80,3.50,5.00,5.00
VogelbuurtSouth,BU03636101,2770,1000,440,110,595,2060,695,85,385,180,715,22.2,5,6,5,1021,8.40,21.40,280.50,0.30,12.90,42.70,322.00,0.20,24.70,63.60,581.00,133.50,416.70,491.80,3.00,4.70,4.70
VogelbuurtNoord,BU03636102,840,260,135,35,175,470,150,20,95,25,185,23.3,4,6,8,1022,4.60,22.00,324.20,0.30,10.50,46.00,384.50,0.30,13.20,66.00,667.00,173.20,417.90,492.20,2.50,4.40,4.40
Flyforest,BU03636103,105,45,10,0,45,10,0,0,0,0,15,.,0,6,12,1022,1.50,20.10,56.50,0.90,1.80,41.20,83.10,0.90,2.10,61.80,148.30,32.20,407.60,491.80,2.80,5.30,5.30
TuindorpNieuwendam,WK036362,1755,1095,460,225,385,495,95,25,125,30,225,24.1,7,5,3,.,2.90,15.20,29.30,0.40,4.60,33.10,56.70,0.30,7.90,43.80,89.00,13.80,399.00,489.90,1.80,5.90,5.90
TuindorpNieuwendamWest,BU03636200,440,405,120,80,130,170,40,0,45,15,65,24.3,6,3,3,1023,2.60,19.10,35.00,0.50,3.30,37.70,62.70,0.20,7.10,56.20,106.30,23.30,405.50,491.20,2.10,5.50,5.50
TuindorpNieuwendamEast,BU03636201,1315,690,335,140,255,325,50,25,80,15,160,24.1,7,6,4,1023,3.00,13.50,26.80,0.30,5.10,31.10,54.20,0.30,8.20,38.40,81.60,9.80,396.20,489.30,1.60,6.10,6.10
TuindorpBuiksloot,WK036363,1000,580,210,125,210,395,90,10,95,35,160,23.1,2,7,10,.,1.70,21.80,174.00,0.30,4.10,47.40,198.90,0.30,6.10,65.60,334.70,79.60,414.10,492.00,2.00,4.90,4.90
BlueSand,BU03636300,1000,575,205,125,205,395,95,15,95,35,160,23.1,2,7,10,1025,1.70,21.80,174.00,0.30,4.10,47.40,198.90,0.30,6.10,65.60,334.70,79.60,414.10,492.00,2.00,4.90,4.90
Nieuwendammerdijk/Buiksloterdijk,WK036364,980,580,80,45,270,75,10,15,5,5,40,44.5,3,7,2,.,2.40,20.80,125.90,0.50,3.30,43.40,154.40,0.40,6.90,61.80,271.00,59.20,409.90,491.30,2.10,5.20,5.20
BuiksloterdijkWest,BU03636400,85,50,5,5,25,5,0,0,0,0,0,.,0,7,7,1034,1.40,25.60,187.60,0.70,2.60,51.50,223.30,0.60,4.40,72.90,439.80,72.80,416.20,492.10,2.00,5.00,5.00
BuiksloterdijkEast,BU03636401,70,50,10,5,20,15,10,0,0,0,10,.,0,8,0,1025,0.60,25.60,195.70,0.90,0.90,50.90,235.30,0.90,2.70,69.70,407.80,86.70,414.00,492.00,1.80,4.90,4.90
NieuwendammerdijkWest,BU03636402,615,360,45,25,155,45,5,10,5,0,30,43,3,9,2,1025,2.80,21.30,143.10,0.50,4.20,44.80,169.80,0.40,8.20,64.90,295.70,70.50,412.60,491.90,2.30,5.00,5.00
NieuwendammerdijkEast,BU03636403,215,115,20,10,70,10,0,0,0,0,5,44.5,6,3,3,1023,2.10,15.80,27.90,0.50,1.70,33.60,54.90,0.40,5.60,45.80,85.50,12.40,398.30,489.20,1.80,5.90,6.00
NieuwendammerdijkSouth,BU03636404,5,0,0,0,0,0,0,5,0,0,0,.,.,.,.,1023,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
TuindorpOostzaan,WK036365,6260,3505,1175,580,1210,3070,805,110,705,365,1085,24.9,3,4,5,.,0.40,8.60,40.60,0.70,1.70,19.10,80.70,0.60,3.10,27.70,129.80,13.70,399.20,485.00,2.30,6.00,6.00
TuindorpOostzaanWest,BU03636500,490,400,145,145,100,235,60,10,45,30,90,24.5,3,3,1,1033,0.00,4.00,23.10,0.30,2.80,12.10,49.90,0.70,2.80,15.00,68.30,9.50,379.90,487.30,1.00,5.80,5.80
GardenvillageOostzaanEast,BU03636501,2230,1340,420,230,430,735,170,30,165,95,280,24.1,3,4,4,1033,0.00,5.80,33.30,0.30,2.50,16.40,69.90,0.20,5.20,20.80,101.80,12.30,397.60,485.10,1.70,6.20,6.20
Terracevillage,BU03636502,2140,1145,505,190,480,1260,315,30,315,130,470,23.4,4,6,9,1033,0.90,10.80,51.20,0.90,1.50,22.60,95.00,0.50,3.10,34.00,163.60,16.10,404.10,485.40,2.60,5.80,5.80
TheBongerd,BU03636503,1405,625,105,15,205,835,260,40,175,110,245,31.6,3,3,2,1036,0.20,11.50,43.10,1.40,0.00,21.00,89.00,1.30,0.00,34.40,149.10,14.30,402.40,483.20,3.50,5.80,5.80
Oostzanerwerf,WK036366,4715,2985,805,390,1055,2755,535,90,615,520,1000,27.6,4,3,6,.,0.10,5.00,21.90,0.70,1.90,16.50,46.80,1.00,0.80,19.40,59.20,8.10,347.60,486.20,1.10,6.30,6.30
Oostzanerdijk,BU03636601,225,135,25,20,55,20,0,0,5,0,15,32.1,3,5,13,1035,0.30,5.40,26.50,0.50,2.90,17.70,56.50,0.40,4.00,23.30,79.00,11.10,381.60,487.80,1.50,6.30,6.30
Walvisbuurt,BU03636602,755,555,85,45,185,425,70,15,125,100,110,30.1,2,3,5,1035,0.00,4.00,21.00,0.80,1.70,15.90,44.90,1.20,0.30,17.40,53.50,7.70,337.20,487.90,0.90,6.20,6.20
TwiskeWest,BU03636603,1240,965,165,65,270,450,80,20,145,55,150,33.9,4,1,2,1035,0.20,6.70,21.00,0.30,2.80,17.90,47.40,1.00,1.00,23.80,60.00,8.10,346.50,485.60,1.40,6.70,6.70
NoorderIJplas,BU03636604,70,55,15,5,15,10,0,0,0,0,5,.,,,,1037,0.00,3.70,38.70,1.00,0.90,11.20,67.80,1.40,0.10,7.70,62.80,5.60,141.80,481.10,0.80,5.20,6.70
Molenwijk,BU03636605,1680,835,395,220,370,1505,315,50,240,285,615,21.3,4,6,9,1035,0.00,4.80,21.60,0.80,1.90,16.80,45.80,1.00,0.80,20.20,60.00,8.00,357.10,486.30,1.00,6.30,6.30
Circus/Kermisbuurt,BU03636606,750,440,120,30,165,345,65,5,100,75,105,28.4,8,1,4,1033,0.00,3.00,22.10,1.20,0.00,13.90,45.20,1.20,0.20,11.80,55.60,7.90,349.90,485.10,0.70,6.00,6.00
Kadoelen,WK036367,1565,1235,200,120,330,545,105,30,135,75,205,32.7,7,3,5,.,1.20,6.40,27.50,0.60,1.90,21.30,61.50,0.50,2.60,24.20,84.80,9.10,379.10,485.90,1.10,6.90,6.90
Kadoelen,BU03636700,1035,760,125,75,215,280,45,15,65,30,125,34.8,8,3,6,1035,1.30,7.40,29.90,0.50,2.10,23.10,65.80,0.50,2.80,26.30,92.70,9.90,385.80,486.60,1.20,6.70,6.70
TwiskeOost,BU03636701,530,470,70,45,115,265,60,10,70,45,80,28.8,6,2,4,1035,1.00,4.10,22.50,0.70,1.50,17.30,52.20,0.50,2.20,19.70,68.10,7.30,364.90,484.40,1.00,7.40,7.40
Waterlandpleinneighborhood,WK036368,7570,3855,1285,465,1510,7620,2220,215,1255,1660,2275,24.4,8,4,6,.,1.40,6.50,23.10,0.60,4.70,20.90,50.90,0.60,4.80,20.80,72.50,6.60,378.90,488.40,1.30,6.40,6.90
BaanakkersparkNoord,BU03636800,290,190,55,45,110,155,20,10,35,20,85,28.4,9,5,3,1024,0.50,6.00,24.60,0.90,1.30,19.30,51.80,0.90,1.30,18.00,71.30,6.30,382.90,488.00,1.80,6.70,6.70
BaanakkersparkZuid,BU03636801,220,165,45,30,100,85,10,0,5,20,50,30.6,2,0,0,1024,2.90,9.30,26.40,0.70,9.10,26.80,53.40,0.70,9.60,28.50,76.40,7.50,391.20,488.50,1.90,6.30,6.30
WerengouwCentral,BU03636802,2830,1355,595,225,625,2730,730,75,470,590,860,23,5,5,8,1024,2.00,7.50,24.60,0.40,6.00,23.90,52.10,0.50,7.30,24.20,74.80,7.20,386.10,489.00,1.40,6.40,6.60
MarkengouwMidden,BU03636803,2115,995,260,65,270,2350,830,65,400,475,575,23.8,10,3,5,1024,0.80,5.60,21.60,0.70,3.50,18.50,49.30,0.80,2.50,17.90,69.60,6.10,370.40,488.40,1.40,6.70,7.10
MarkengouwSouth,BU03636804,1250,595,165,45,195,1420,330,40,220,345,475,22.7,14,5,8,1024,1.00,5.60,21.30,0.70,3.70,17.80,49.00,0.70,3.00,17.40,69.70,6.10,369.90,487.60,0.90,6.20,7.30
WerengouwSouth,BU03636805,875,555,160,60,210,885,300,20,120,215,235,28.3,7,4,2,1024,1.10,6.00,22.80,0.40,4.30,20.00,52.20,0.40,4.10,19.80,74.40,6.90,382.40,487.90,0.80,6.10,6.90
Buikslotermeer,WK036369,6160,3015,1230,770,1570,5025,1075,175,910,765,2110,22.9,4,3,9,.,1.80,16.10,48.20,0.40,7.80,37.80,76.80,0.50,5.70,44.20,130.20,23.10,404.10,490.60,1.40,5.60,5.60
RedCrossneighborhood,BU03636900,95,105,10,15,40,30,0,5,10,5,15,.,0,9,68,1025,1.50,20.70,137.50,0.70,2.70,47.10,157.00,0.30,3.60,62.90,278.90,57.70,412.30,492.00,1.80,5.00,5.00
Loenermark,BU03636902,770,385,215,145,245,540,105,15,95,95,235,24,2,3,3,1025,1.70,21.30,121.90,0.50,11.00,47.10,146.50,0.40,6.20,60.40,264.00,50.60,412.00,492.00,1.30,5.10,5.10
Buikslotermeerplein,BU03636909,460,245,115,175,175,290,60,15,70,25,120,24.1,6,13,33,1025,2.10,12.30,29.40,0.40,9.70,33.70,58.30,0.10,7.50,33.80,93.50,10.50,401.90,489.30,1.40,5.90,5.90
Gool'splan,BU03636910,1920,750,360,95,465,1680,360,50,325,210,740,23.2,2,1,6,1025,1.70,19.50,39.40,0.40,9.90,41.10,69.10,0.40,7.80,54.70,121.10,25.60,407.00,491.80,1.60,5.40,5.40
TheSmallWorld,BU03636911,1550,835,305,135,255,1820,450,40,290,350,690,20.8,6,2,8,1025,2.00,13.80,30.80,0.40,6.30,34.60,60.60,0.50,4.40,35.80,97.10,15.00,401.90,489.70,1.20,5.80,5.80
BuikslotermeerNorth,BU03636912,1370,690,215,210,395,660,105,45,130,70,305,22.5,6,2,3,1025,1.80,12.10,30.40,0.50,4.40,32.10,59.80,0.70,3.60,32.40,93.40,12.90,398.00,489.60,1.40,6.00,6.00
BanneBuiksloot,WK036370,7790,4485,1380,655,1560,7260,1980,205,1230,1590,2260,24.3,6,5,6,.,0.10,14.70,54.70,0.70,2.20,32.20,99.30,1.60,0.20,39.00,175.00,18.10,403.30,490.30,1.80,5.80,5.80
BanneSouthwest,BU03637000,2040,1065,390,215,405,2130,600,55,390,330,755,23.3,4,4,2,1034,0.10,17.90,69.80,0.60,3.10,36.50,116.20,1.20,0.20,50.60,219.80,21.90,408.40,491.00,1.60,5.40,5.40
BanneSouthEast,BU03637001,1950,1155,340,160,370,1510,340,55,325,275,505,25.6,7,3,11,1034,0.20,17.40,60.00,0.70,2.40,37.10,107.60,1.30,0.10,47.80,195.90,18.90,405.80,491.30,1.80,5.50,5.50
BanneNorthwest,BU03637002,1450,765,315,110,280,1560,440,50,245,415,410,21.7,8,10,5,1034,0.00,11.20,36.30,0.50,2.80,26.00,78.60,2.00,0.00,25.90,120.40,11.20,400.50,489.40,1.60,6.20,6.20
BanneNortheast,BU03637003,1945,1255,300,145,390,1895,540,45,250,535,520,24.4,5,4,5,1034,0.00,9.10,33.40,1.00,0.70,23.80,72.10,2.20,0.00,20.60,110.90,11.20,394.70,488.70,2.00,6.40,6.40
Buiksloterbreek,BU03637004,155,150,20,10,65,25,0,0,5,0,20,38.8,18,0,0,1034,0.40,22.50,128.30,0.50,2.10,45.30,187.70,0.90,1.90,69.20,361.50,54.60,416.10,491.60,2.40,4.80,4.80
Marjoleingrounds,BU03637005,250,95,25,5,50,145,55,0,10,35,40,26,3,0,3,1034,1.40,25.40,118.60,0.80,3.00,49.90,174.50,0.50,3.80,72.30,346.00,53.40,415.80,492.00,2.50,4.90,4.90
NorthernIJbanksWest,WK036371,2675,735,150,30,745,740,75,50,105,55,455,28.6,4,6,10,.,2.90,22.00,196.20,0.30,4.90,38.90,273.20,0.40,10.70,67.40,470.00,92.30,414.30,491.90,3.30,4.80,4.80
Papaverwegandsurroundingareas,BU03637102,565,250,45,10,160,90,15,5,15,5,50,37.3,3,8,11,1032,4.10,29.40,305.50,0.30,6.20,56.90,405.20,0.80,6.80,93.70,687.10,146.00,420.90,498.40,2.90,4.20,4.20
CornelisDouwessite,BU03637104,5,0,0,0,0,0,0,0,0,0,0,.,,,,1033,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
NDSMsite,BU03637105,1155,20,5,0,315,390,20,30,40,25,280,10.9,5,9,16,1033,2.00,13.00,53.80,0.30,3.00,24.80,102.30,0.20,7.70,40.30,179.90,17.50,406.00,485.50,2.80,5.60,5.60
Buiksloterham,BU03637106,135,40,5,0,40,45,30,5,5,5,5,.,0,0,28,1031,6.10,33.60,377.70,0.40,9.10,58.70,500.40,0.50,21.20,109.40,840.30,183.30,421.30,501.50,3.60,3.90,3.90
Overhoeks,BU03637107,820,430,95,25,230,215,10,15,45,20,120,48,4,3,1,1031,2.20,24.70,243.30,0.50,5.10,37.50,326.90,0.30,14.90,70.30,570.30,121.20,417.70,492.60,4.10,4.40,4.40
NorthernIJbanksEast,WK036372,245,60,15,0,135,70,0,5,5,10,50,24,6,29,63,.,6.40,20.20,281.90,0.20,9.40,41.40,330.30,0.20,15.40,60.80,576.10,148.80,414.80,491.80,2.80,4.60,4.60
Hamerstraatbusinesspark,BU03637200,220,45,10,5,130,60,0,5,5,10,45,22.8,4,21,46,1021,7.00,21.30,303.80,0.10,10.20,43.10,354.10,0.10,16.80,63.90,620.00,160.90,417.50,492.20,2.90,4.50,4.50
Zamenhofstraatandsurroundingareas,BU03637201,10,0,0,0,5,0,0,0,0,0,5,.,.,.,.,1022,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Nieuwendammerdijkbusinesspark,BU03637202,15,10,0,0,0,5,0,5,0,0,0,.,.,.,.,1023,0.20,6.00,22.20,1.10,0.20,19.40,50.00,1.10,0.80,20.20,71.80,6.80,380.40,487.00,1.50,6.40,6.90
Waterland,WK036373,1145,895,140,90,240,100,5,5,25,10,55,48.7,6,4,4,.,0.00,1.70,14.90,3.30,0.00,4.60,34.80,1.70,0.40,6.40,47.90,4.30,277.70,479.20,2.70,7.00,8.30
SchellingwoudeWest,BU03637300,50,15,5,0,10,10,0,5,5,0,0,.,0,15,15,1023,0.00,3.50,35.10,1.90,0.00,7.60,73.00,0.70,1.00,11.80,107.50,8.80,380.20,485.60,1.50,5.30,6.90
SchellingwoudeEast,BU03637301,340,220,30,15,80,35,0,10,10,10,5,49.4,13,2,11,1023,0.00,4.00,39.10,1.80,0.00,10.20,83.80,0.50,0.90,14.40,120.20,9.80,384.10,487.10,1.30,5.10,6.70
SchellingwoudeNorth,BU03637302,0,5,0,0,0,0,0,0,0,0,0,.,.,.,.,1026,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Durgerdam,BU03637303,245,200,35,15,60,15,0,0,5,0,10,60.7,5,2,2,1026,0.00,0.10,4.30,3.90,0.00,0.40,10.90,2.20,0.00,1.30,16.50,1.60,286.60,475.30,2.80,6.60,8.30
BlackShire,BU03637304,15,5,5,0,0,0,0,0,0,0,0,.,.,.,.,1026,0.00,0.90,21.10,2.80,0.00,4.20,51.10,1.60,0.10,5.40,64.10,5.20,339.30,484.70,1.90,5.60,7.30
Ransdorp,BU03637305,145,120,20,20,25,10,0,0,0,0,5,75.5,3,7,3,1028,0.00,0.00,2.40,4.00,0.00,0.00,6.20,2.70,0.00,0.90,12.60,1.00,272.00,480.80,3.00,6.70,8.40
Holysloot,BU03637306,115,120,20,15,20,10,0,0,0,0,10,41.8,4,0,0,1028,0.00,0.00,0.10,6.50,0.00,0.30,1.00,1.20,0.60,0.80,1.90,0.90,33.80,460.00,5.50,10.20,11.70
Zunderdorp,BU03637307,220,205,25,25,35,20,0,0,5,0,15,35.9,1,4,0,1027,0.00,2.50,7.90,2.60,0.00,6.90,27.60,2.50,0.00,8.10,26.60,3.30,254.10,481.70,2.70,8.60,8.60
NorthernStripWest,BU03637308,5,10,0,5,10,5,0,0,0,0,5,.,.,.,.,1027,0.00,0.10,19.20,2.70,0.00,2.20,43.80,0.40,1.00,1.40,54.30,3.90,361.10,484.60,3.20,7.40,7.40
NorthernStripEast,BU03637309,5,5,0,0,5,0,0,0,0,0,0,.,.,.,.,1027,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Elzenhagen,WK036374,1605,910,170,45,400,850,160,40,215,150,285,33.8,3,3,8,.,0.20,12.60,47.80,0.70,2.70,32.30,80.80,1.30,0.80,35.50,131.40,19.70,398.90,489.60,1.30,6.00,6.00
Nintemansite,BU03637400,45,60,0,0,15,0,0,0,0,0,0,.,18,0,0,1025,0.50,25.50,271.30,1.00,0.40,51.00,319.90,0.60,2.30,68.70,556.00,138.80,417.00,492.00,1.50,4.50,4.50
ElzenhagenSouth,BU03637401,165,60,30,5,35,105,20,5,25,15,30,25.4,0,24,71,1022,0.90,22.00,73.10,0.40,6.00,45.30,105.40,0.80,3.20,59.70,193.10,33.10,409.30,491.10,1.10,5.40,5.40
ElzenhagenNorth,BU03637402,1400,785,140,40,350,745,135,30,190,135,250,34.7,3,1,2,1022,0.00,8.90,28.70,0.80,1.70,27.10,61.20,1.60,0.00,26.00,90.70,9.50,394.60,489.00,1.30,6.20,6.20
Chassebuurt,WK036375,4260,1450,420,110,1045,2195,810,75,255,460,600,27.2,2,2,6,.,47.70,349.20,661.50,0.20,59.20,462.80,919.00,0.10,87.30,910.80,1734.00,374.80,441.70,520.80,1.70,2.90,3.40
Kortenaerkwartier,BU03637500,1550,515,130,40,415,625,220,30,75,110,185,27.2,2,2,3,1057,47.50,386.80,662.20,0.20,58.30,506.60,916.30,0.20,82.20,970.20,1733.00,374.30,441.80,521.10,1.60,3.00,3.30
PhilipofAlmondekwartier,BU03637501,810,210,70,10,205,260,100,15,25,25,90,30.2,2,4,6,1057,48.30,324.10,658.00,0.20,54.50,428.80,906.20,0.10,70.30,848.90,1718.00,372.40,441.10,520.10,1.40,3.00,3.40
TheWesternQuartier,BU03637502,1205,455,140,35,300,805,275,25,100,180,230,25.6,3,2,9,1057,45.90,335.00,662.30,0.30,60.30,447.70,923.50,0.20,96.40,898.20,1738.00,375.60,441.70,520.70,1.80,2.70,3.50
VanBrakelkwartier,BU03637503,695,265,80,20,125,505,215,5,60,140,90,26.4,1,2,6,1057,50.40,320.30,662.30,0.20,64.50,431.40,930.60,0.10,100.50,871.10,1743.00,377.10,442.00,521.10,1.70,2.60,3.60
Slotermeer-Northeast,WK036376,5465,2760,825,240,1195,5910,2440,85,515,1670,1205,22,5,4,10,.,3.00,53.20,252.80,0.30,12.20,99.80,394.20,0.30,10.90,106.50,703.20,107.60,435.40,519.90,0.80,2.50,2.50
Neighborhood3,BU03637600,3565,1785,530,175,810,3605,1405,55,315,1050,785,22.1,7,3,7,1063,2.70,50.10,246.90,0.30,11.60,95.20,383.20,0.30,10.00,100.80,681.40,101.90,435.30,520.00,0.80,2.50,2.50
Neighborhood2,BU03637601,1905,975,295,70,385,2305,1035,30,195,615,420,21.8,3,5,16,1063,3.70,59.60,265.00,0.30,13.50,109.20,417.20,0.30,12.60,118.40,748.70,119.60,435.80,519.70,0.90,2.70,2.70
Slotermeer-Southwest,WK036377,10465,5325,1695,490,2065,11180,5005,170,950,2980,2085,22.3,7,5,8,.,3.60,43.00,202.60,0.30,8.90,82.80,334.30,0.30,10.40,93.40,550.80,79.80,432.00,520.10,1.10,2.70,2.90
SlotermeerSouth,BU03637700,1975,910,405,115,415,2010,955,50,165,425,415,19.9,5,8,13,1064,3.60,66.80,287.20,0.40,10.90,117.20,450.20,0.30,10.60,133.40,804.40,143.00,437.40,519.80,1.00,2.60,3.10
NorthbankofSloterplas,BU03637701,2030,805,285,75,515,1295,430,35,170,295,360,26.9,18,6,6,1064,2.30,67.70,282.00,0.40,4.60,122.10,442.90,0.40,5.70,136.60,789.00,145.10,436.00,519.40,1.20,2.50,3.40
Neighborhood4East,BU03637702,2095,1200,295,120,560,2135,765,30,215,670,455,23.5,5,5,7,1063,3.60,24.70,145.70,0.40,12.40,56.60,253.90,0.40,13.00,64.90,371.90,38.90,430.80,520.90,0.50,2.20,2.20
Neighborhood5North,BU03637703,2130,1205,380,60,240,3100,1595,30,220,830,425,19.9,5,3,8,1064,4.80,29.00,155.50,0.20,10.40,60.00,268.10,0.10,12.80,69.70,404.70,41.40,429.30,520.60,1.10,2.80,2.80
Sloterpark,BU03637704,0,0,0,0,0,0,0,0,0,0,0,.,,,,1064,3.00,47.00,191.30,0.40,7.00,101.80,322.50,0.60,8.00,106.00,542.50,60.50,431.30,519.00,1.60,2.90,3.30
Neighborhood5South,BU03637705,2235,1200,320,120,330,2640,1255,25,175,765,415,21.4,5,4,3,1064,3.60,31.10,158.00,0.20,6.30,64.30,276.90,0.20,9.50,69.90,428.70,43.30,427.40,519.90,1.50,3.20,3.20
Geuzenveld,WK036378,8660,5230,1340,475,1750,10515,4205,135,840,3820,1510,22.7,7,5,7,.,2.90,14.10,80.10,0.30,4.00,40.50,182.30,0.40,3.50,41.20,181.90,24.60,408.90,521.00,1.00,3.40,3.40
Neighborhood6,BU03637800,1685,945,290,95,245,2100,910,30,170,620,365,20.5,7,5,8,1067,3.10,15.30,93.80,0.30,4.30,52.20,199.60,0.30,5.30,47.80,214.10,28.20,413.20,521.00,1.30,3.60,3.60
Neighborhood7,BU03637801,1325,1010,175,80,280,1550,620,10,95,670,155,25.2,9,4,7,1067,2.40,13.40,75.80,0.50,2.90,42.90,177.70,0.50,1.40,41.40,174.80,22.90,403.20,520.90,1.40,4.00,4.00
Neighborhood8,BU03637802,2235,1200,310,105,565,2620,880,35,260,1040,405,23.6,8,4,9,1067,3.80,14.90,86.00,0.30,5.30,41.40,191.40,0.40,5.60,44.60,191.80,25.70,412.20,521.20,1.10,3.30,3.30
Neighborhood9,BU03637803,3210,2005,540,190,590,4110,1765,60,290,1430,560,22.3,5,5,6,1067,2.50,13.30,70.60,0.30,3.60,33.10,168.70,0.30,2.30,35.40,160.90,22.70,406.40,521.10,0.50,3.10,3.10
Eendrachtspark,BU03637804,200,75,30,0,65,140,35,5,20,60,25,22,7,3,7,1067,2.30,12.40,92.90,0.30,1.70,38.30,196.70,0.50,2.10,39.10,207.70,27.00,421.10,521.00,0.70,2.50,2.50
Unity,WK036379,1115,1085,165,75,330,1085,305,30,185,355,210,27.9,10,3,5,.,1.40,9.20,47.10,0.60,2.20,21.80,126.40,1.00,0.50,22.10,123.00,20.00,385.90,531.10,1.30,3.90,3.90
OsdorperBinnenpolder,BU03637900,10,10,5,0,0,10,0,0,0,0,10,.,.,.,.,1067,0.70,5.80,19.00,1.10,0.90,13.20,66.60,1.40,0.20,8.50,59.80,11.00,267.70,540.50,0.80,3.20,5.20
Neighborhood10,BU03637901,1100,1070,165,75,330,1080,305,30,185,360,200,27.9,9,2,4,1067,1.40,9.30,47.50,0.60,2.20,21.90,127.20,1.00,0.50,22.30,123.90,20.20,387.40,531.00,1.30,3.90,3.90
