zipcode,near_ATTRAC,near_museum,near_Performing_arts
2023,5.0,1.1,1.9
2024,3.9,2.1,3.0
2025,2.8,3.0,4.1
2026,2.5,3.5,4.6
2031,6.2,1.3,1.3
2032,6.1,1.2,1.4
2033,6.3,1.8,2.0
2034,4.1,2.6,3.0
2035,5.2,2.9,3.3
2036,4.0,3.8,4.3
2037,4.7,3.8,4.3
2041,9.5,1.4,8.4
2042,8.8,0.7,7.7
2051,5.6,2.0,1.8
2061,3.6,2.9,1.5
2063,4.3,4.7,5.4
2064,5.3,5.8,6.3
2065,7.6,4.0,4.1
2071,0.8,2.1,3.4
2082,1.9,3.7,2.4
2101,1.8,2.3,3.2
2102,2.3,2.3,3.0
2103,1.2,1.3,4.4
2104,1.1,2.9,5.7
2105,1.9,3.2,4.2
2106,3.2,3.0,2.8
2111,4.7,3.6,3.3
2114,2.3,6.4,7.8
2116,5.9,3.5,4.8
2121,0.9,4.5,7.2
2131,3.2,3.0,1.4
2132,3.2,4.0,0.9
2133,3.6,2.2,2.4
2134,4.5,3.4,4.4
2135,2.0,3.8,2.9
2136,3.0,4.0,7.1
2141,6.2,3.8,6.0
2142,3.3,1.1,5.2
2143,10.3,6.1,7.8
2144,5.5,5.6,5.7
2151,5.7,6.1,6.1
2152,5.0,6.9,6.4
2153,4.6,7.7,6.6
2154,8.3,7.7,7.2
2155,9.1,8.7,8.2
2156,9.6,8.4,8.4
2157,7.6,6.5,6.4
2158,7.2,5.9,5.9
2159,8.1,6.9,6.9
2161,2.1,1.1,1.1
2162,3.6,2.1,2.1
2163,1.6,1.1,1.1
2165,3.2,2.0,2.0
2171,4.4,5.2,5.3
2172,4.6,5.1,5.1
2181,4.0,5.4,5.4
2182,4.0,4.5,4.7
2191,4.5,4.8,6.1
2201,4.8,2.0,7.0
2202,5.4,0.7,8.6
2203,3.9,1.9,8.3
2204,4.3,5.1,8.7
2211,1.9,5.6,7.5
2212,4.8,6.6,7.9
2215,4.4,5.9,7.2
2216,3.5,6.5,6.7
2221,8.1,1.2,4.1
2222,7.6,2.5,4.3
2223,6.8,1.7,1.9
2224,7.3,1.7,2.4
2225,8.6,0.6,3.7
2231,5.9,0.9,3.2
2232,5.3,1.1,3.7
2235,7.6,2.4,3.2
2241,2.1,3.7,5.1
2242,1.1,4.6,5.1
2243,2.9,3.1,5.0
2244,4.6,1.4,3.1
2245,4.8,2.7,3.5
2251,3.9,1.0,5.6
2252,3.2,0.9,5.8
2253,5.4,2.3,3.9
2254,4.0,1.4,6.2
2261,2.9,3.1,2.4
2262,2.7,3.6,1.6
2263,1.6,2.7,2.3
2264,2.3,3.3,1.2
2265,2.5,3.3,0.8
2266,4.3,4.0,2.2
2267,0.9,1.3,2.4
2271,2.6,0.9,1.1
2272,4.1,2.7,1.7
2273,3.3,1.8,1.1
2274,2.6,1.3,1.3
2275,1.3,0.9,1.8
2281,1.8,0.7,1.8
2282,1.8,0.7,1.0
2283,1.1,2.0,0.8
2284,1.7,3.0,1.7
2285,2.6,4.0,2.5
2286,2.6,3.9,3.0
2287,1.5,3.3,2.1
2288,1.6,2.4,1.8
2289,3.0,1.9,2.1
2291,1.4,3.2,4.2
2292,0.7,3.8,5.5
2295,3.0,1.2,4.8
2311,3.1,0.5,0.7
2312,2.4,0.3,0.7
2313,3.0,1.3,1.6
2314,2.8,2.1,2.8
2315,1.5,1.4,1.9
2316,2.4,1.1,1.3
2317,2.8,2.9,3.2
2318,3.8,3.3,3.6
2321,4.2,1.6,1.8
2322,5.2,3.1,3.3
2323,5.2,2.6,3.6
2324,5.0,2.2,2.6
2331,5.7,1.6,3.4
2332,4.7,1.2,2.1
2333,3.9,1.0,1.7
2334,3.5,1.3,1.6
2341,3.3,2.8,3.3
2342,4.7,2.3,3.5
2343,3.2,3.5,4.2
2351,2.5,1.8,3.9
2352,1.2,0.7,3.2
2353,1.9,1.4,4.0
2355,6.2,5.0,7.9
2361,1.6,4.7,5.0
2362,4.7,5.1,6.6
2371,10.6,10.2,11.2
2374,5.2,5.3,6.9
2375,6.7,7.0,8.5
2376,9.6,9.8,10.7
2377,10.6,9.6,9.5
2381,7.0,5.1,5.3
2382,3.5,2.8,4.1
2391,8.6,6.8,5.5
2394,4.8,6.1,7.1
2396,5.5,7.1,7.8
2401,2.4,5.2,4.2
2402,2.4,5.1,3.3
2403,3.3,5.5,3.1
2404,1.2,3.1,2.6
2405,2.0,3.1,2.8
2406,2.8,4.4,0.9
2407,5.4,5.3,3.4
2408,1.1,1.1,4.2
2409,4.3,3.6,5.1
2411,9.2,8.4,1.1
2412,9.6,9.2,1.9
2415,8.3,6.0,5.2
2421,12.2,13.3,9.5
2431,12.0,13.8,13.2
2432,13.6,12.8,13.1
2435,8.7,12.2,12.1
2441,7.2,10.7,10.7
2445,8.6,9.9,6.4
2451,10.3,10.3,10.1
2461,8.4,10.7,8.2
2465,7.3,10.1,9.2
2471,7.9,7.2,3.5
2481,5.6,8.4,7.5
2491,3.7,2.9,1.7
2492,5.0,4.7,2.9
2493,6.0,5.0,3.8
2495,1.0,1.5,2.3
2496,3.6,3.9,4.3
2497,3.5,3.3,3.5
2498,5.0,4.0,4.1
2511,1.8,0.7,0.4
